Site,Location,Status,latitude,longitude
Sandmound,Sandmound,Reference,38.001,-121.624
West Pond,WestPond,Restored,38.107,-121.648
Mayberry,Mayberry,Restored,38.05,-121.765
Browns,Browns,Reference,38.046,-121.866
Rush Ranch,RushRanch,Restored,38.224,-122.019
Joice,Joice,Reference,38.197,-122.01
Goodyear,Goodyear,Restored,38.08,-122.109
White Slough,WhiteSlough,Restored,38.132,-122.266
Tolay,Tolay,Restored,38.15,-122.439
China Camp,ChinaCamp,Reference,38.003,-122.468
Muzzi,Muzzi,Restored,37.928,-122.507